,KPZETAF BZ Equity,HPRFIC BZ Equity
,PX_LAST,PX_LAST
Date,,
2016-08-17,2317875.0,12751053.0
2016-08-18,2307937.0,12733791.0
2016-08-19,231427.0,12789221.0
2016-08-22,2305978.0,12785333.0
2016-08-23,231088.0,12774162.0
2016-08-24,2303305.0,12759821.0
2016-08-25,2306933.0,12746974.0
2016-08-26,2299236.0,12710525.0
2016-08-29,2303115.0,12724531.0
2016-08-30,2311786.0,12721434.0
2016-08-31,2311886.0,12732635.0
2016-09-09,2325347.0,12871549.0
2016-09-11,2508201.0,13578099.0
2016-09-12,2507599.0,13953363.0
2016-09-13,2313277.0,12803954.0
2016-09-14,2290987.0,12828098.0
2016-09-15,2315355.0,12881383.0
2016-09-16,2315304.0,1294726.0
2016-09-19,2314947.0,12921328.0
2016-09-20,2329254.0,12962375.0
2016-09-21,2351014.0,13039557.0
2016-09-22,2373904.0,1312568.0
2016-09-23,2369149.0,13152335.0
2016-09-26,2350642.0,13122752.0
2016-09-27,2354352.0,13138261.0
2016-09-28,2367931.0,13129266.0
2016-09-29,2353165.0,13113217.0
2016-09-30,2356717.0,13129213.0
2016-10-10,2407892.0,13291427.0
2016-10-11,245374.0,13669681.0
2016-10-13,2418059.0,1332001.0
2016-10-14,2424868.0,13324175.0
2016-10-17,2438287.0,13332037.0
2016-10-18,2446296.0,13350461.0
2016-10-19,2448803.0,13391494.0
2016-10-20,2452341.0,13432876.0
2016-10-21,247041.0,13389346.0
2016-10-24,2484065.0,13476653.0
2016-10-25,2494082.0,1346875.0
2016-10-26,2490382.0,13465055.0
2016-10-27,2506655.0,1349321.0
2016-10-28,2494089.0,13509673.0
2016-10-31,2502167.0,13507786.0
2016-11-10,2400475.0,13282694.0
2016-11-11,2439239.0,13691943.0
2016-11-14,2414658.0,13729058.0
2016-11-16,2422164.0,13745861.0
2016-11-17,2437509.0,13741043.0
2016-11-18,2444839.0,13801656.0
2016-11-21,2457616.0,1380474.0
2016-11-22,2456641.0,13811826.0
2016-11-23,2446934.0,13836426.0
2016-11-24,2449218.0,13849212.0
2016-11-25,2448491.0,13841821.0
2016-11-28,2462286.0,13827521.0
2016-11-29,2471599.0,13838769.0
2016-11-30,2495241.0,13862536.0
2016-12-09,2333327.0,12883951.0
2016-12-12,2500768.0,13970868.0
2016-12-13,2493212.0,13968764.0
2016-12-14,2496472.0,13933582.0
2016-12-15,2496136.0,14006856.0
2016-12-16,2496778.0,14005815.0
2016-12-19,2505473.0,14014031.0
2016-12-20,2515588.0,14023665.0
2016-12-21,2526863.0,14076424.0
2016-12-22,2535927.0,14096446.0
2016-12-23,2546522.0,14116751.0
2016-12-26,2550635.0,14130237.0
2016-12-27,2551092.0,14137135.0
2016-12-28,2564919.0,14154846.0
2016-12-29,2571362.0,14154052.0
2016-12-30,2573286.0,1417156.0
2017-01-02,271036.0,14577207.0
2017-01-03,2825771.0,14909871.0
2017-01-06,2739176.0,14523172.0
2017-01-08,2949503.0,14879527.0
2017-01-09,3015204.0,15004086.0
2017-01-11,3073193.0,15677943.0
2017-01-12,308248.0,15683728.0
2017-01-13,2615969.0,14307006.0
2017-01-16,2622019.0,14324309.0
