;data;Product;FinancialPrice;MesAno;Mes_nomial;Mes;Ano;Retorno_1;Retorno
59;2021-07-30;3G SPECIAL SITUATIONS FUND IV SUB/RED;924,2661743164062;07-2021;Jul;7;2021;;
58;2021-06-30;3G SPECIAL SITUATIONS FUND IV SUB/RED;892,6597290039062;06-2021;Jun;6;2021;1,0354070663452148;0,035407066345214844
57;2021-05-28;3G SPECIAL SITUATIONS FUND IV SUB/RED;892,6597290039062;05-2021;May;5;2021;1,0;0,0
56;2021-04-30;3G SPECIAL SITUATIONS FUND IV SUB/RED;892,6597290039062;04-2021;Apr;4;2021;1,0;0,0
55;2021-03-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;892,6597290039062;03-2021;Mar;3;2021;1,0;0,0
54;2021-02-26;3G SPECIAL SITUATIONS FUND IV SUB/RED;781,6610107421875;02-2021;Feb;2;2021;1,1420036554336548;0,14200365543365479
53;2021-01-29;3G SPECIAL SITUATIONS FUND IV SUB/RED;781,6610107421875;01-2021;Jan;1;2021;1,0;0,0
52;2020-12-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;684,3886108398438;12-2020;Dec;12;2020;1,1421303749084473;0,14213037490844727
51;2020-11-30;3G SPECIAL SITUATIONS FUND IV SUB/RED;684,3886108398438;11-2020;Nov;11;2020;1,0;0,0
50;2020-10-30;3G SPECIAL SITUATIONS FUND IV SUB/RED;684,3886108398438;10-2020;Oct;10;2020;1,0;0,0
49;2020-09-30;3G SPECIAL SITUATIONS FUND IV SUB/RED;684,3886108398438;09-2020;Sep;9;2020;1,0;0,0
48;2020-08-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;731,452880859375;08-2020;Aug;8;2020;0,9356564283370972;-0,06434357166290283
47;2020-07-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;731,452880859375;07-2020;Jul;7;2020;1,0;0,0
46;2020-06-30;3G SPECIAL SITUATIONS FUND IV SUB/RED;731,452880859375;06-2020;Jun;6;2020;1,0;0,0
45;2020-05-29;3G SPECIAL SITUATIONS FUND IV SUB/RED;561,63818359375;05-2020;May;5;2020;1,3023560047149658;0,3023560047149658
44;2020-04-30;3G SPECIAL SITUATIONS FUND IV SUB/RED;561,63818359375;04-2020;Apr;4;2020;1,0;0,0
43;2020-03-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;561,63818359375;03-2020;Mar;3;2020;1,0;0,0
42;2020-02-28;3G SPECIAL SITUATIONS FUND IV SUB/RED;726,958984375;02-2020;Feb;2;2020;0,7725858092308044;-0,22741419076919556
41;2020-01-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;726,958984375;01-2020;Jan;1;2020;1,0;0,0
40;2019-12-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;726,958984375;12-2019;Dec;12;2019;1,0;0,0
39;2019-11-29;3G SPECIAL SITUATIONS FUND IV SUB/RED;616,4827880859375;11-2019;Nov;11;2019;1,179203987121582;0,17920398712158203
38;2019-10-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;616,4827880859375;10-2019;Oct;10;2019;1,0;0,0
37;2019-09-30;3G SPECIAL SITUATIONS FUND IV SUB/RED;616,4827880859375;09-2019;Sep;9;2019;1,0;0,0
36;2019-08-30;3G SPECIAL SITUATIONS FUND IV SUB/RED;688,869140625;08-2019;Aug;8;2019;0,8949200510978699;-0,10507994890213013
35;2019-07-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;688,869140625;07-2019;Jul;7;2019;1,0;0,0
34;2019-06-28;3G SPECIAL SITUATIONS FUND IV SUB/RED;688,869140625;06-2019;Jun;6;2019;1,0;0,0
33;2019-05-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;709,1345825195312;05-2019;May;5;2019;0,9714223146438599;-0,028577685356140137
32;2019-04-30;3G SPECIAL SITUATIONS FUND IV SUB/RED;709,1345825195312;04-2019;Apr;4;2019;1,0;0,0
31;2019-03-29;3G SPECIAL SITUATIONS FUND IV SUB/RED;939,5889282226562;03-2019;Mar;3;2019;0,7547285556793213;-0,2452714443206787
30;2019-02-28;3G SPECIAL SITUATIONS FUND IV SUB/RED;939,5889282226562;02-2019;Feb;2;2019;1,0;0,0
29;2019-01-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;939,5889282226562;01-2019;Jan;1;2019;1,0;0,0
28;2018-12-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;939,5889282226562;12-2018;Dec;12;2018;1,0;0,0
27;2018-11-30;3G SPECIAL SITUATIONS FUND IV SUB/RED;1174,8924560546875;11-2018;Nov;11;2018;0,7997233271598816;-0,2002766728401184
26;2018-10-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;1174,8924560546875;10-2018;Oct;10;2018;1,0;0,0
25;2018-09-28;3G SPECIAL SITUATIONS FUND IV SUB/RED;1174,8924560546875;09-2018;Sep;9;2018;1,0;0,0
24;2018-08-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;1311,72265625;08-2018;Aug;8;2018;0,8956866264343262;-0,10431337356567383
23;2018-07-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;1311,72265625;07-2018;Jul;7;2018;1,0;0,0
22;2018-06-29;3G SPECIAL SITUATIONS FUND IV SUB/RED;1289,8057861328125;06-2018;Jun;6;2018;1,0169923305511475;0,01699233055114746
21;2018-05-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;1289,81005859375;05-2018;May;5;2018;0,9999966621398926;-3,337860107421875e-06
20;2018-04-30;3G SPECIAL SITUATIONS FUND IV SUB/RED;1289,8057861328125;04-2018;Apr;4;2018;1,0000033378601074;3,337860107421875e-06
19;2018-03-29;3G SPECIAL SITUATIONS FUND IV SUB/RED;1289,8057861328125;03-2018;Mar;3;2018;1,0;0,0
18;2018-02-28;3G SPECIAL SITUATIONS FUND IV SUB/RED;1561,3927001953125;02-2018;Feb;2;2018;0,8260611295700073;-0,17393887042999268
17;2018-01-31;3G SPECIAL SITUATIONS FUND IV SUB/RED;1561,3927001953125;01-2018;Jan;1;2018;1,0;0,0
16;2017-12-29;3G SPECIAL SITUATIONS FUND IV SUB/RED;1561,3927001953125;12-2017;Dec;12;2017;1,0;0,0
15;2017-11-30;3G SPECIAL SITUATIONS FUND IV SUB/RED;1560,7099609375;11-2017;Nov;11;2017;1,0004374980926514;0,0004374980926513672
